subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
101032,11007,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,120,,,,,,취업과진로  공통필수,,,
101032,11011,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11012,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11004,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,150,,,,,,취업과진로  공통필수,,,
101032,11010,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,120,,,,,,취업과진로  공통필수,,,
101032,11005,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,150,,,,,,취업과진로  공통필수,,,
101032,11006,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,120,,,,,,취업과진로  공통필수,,,
101032,11009,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11008,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101048,31001,,,미술치료,,교양대학,인문사회교양학부,2,교선,30,,,,,,,,,
101048,31002,,,미술치료,,교양대학,인문사회교양학부,2,교선,60,,,,,,,,,
101049,31001,,,SeoulTech 혜윰강좌,,교양대학,교양대학,1,교선,400,,,,,,특강세미나 사이버강좌전용,,,
101049,31002,,,SeoulTech 혜윰강좌,,교양대학,인공지능응용학과,1,교선,400,,,,,,특강세미나 사이버강좌전용,,,
101066,11001,,,일반물리학(1),,교양대학,자연과학부,2,교필,40,,,,,,영어전용(M)   학문기초교양,,,
101067,11035,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11036,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11005,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11002,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11037,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11038,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11001,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,40,,,,,,영어전용(M)   학문기초교양,,,
101067,11004,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11039,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11040,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11034,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11041,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11003,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11042,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11043,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11019,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11020,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11021,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11022,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
