grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
48,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11038,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김병일,김병일,다빈치관-208 다빈치관-208,Davinci Hall(039)-208,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
49,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11039,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김현수,김현수,창조관-211 창조관-211,Changjo Hall (Graduate School)(008)-211,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
50,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11009,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,연윤정,연윤정,청운관(북관)-024 청운관(북관)-024,Chungwoon Hall(006A)-024,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
51,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11011,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김병일,김병일,다빈치관-103 다빈치관-103,Davinci Hall(039)-103,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
52,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11016,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,이호규,이호규,다빈치관-108 다빈치관-108,Davinci Hall(039)-108,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
53,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11010,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김민희,김민희,다빈치관-207 다빈치관-207,Davinci Hall(039)-207,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
54,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11012,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,임경필,임경필,다빈치관-107 다빈치관-107,Davinci Hall(039)-107,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
55,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11013,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,한혜림,한혜림,다빈치관-207 다빈치관-207,Davinci Hall(039)-207,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
56,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11014,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,신현혜,Shin Hyun Hye,다빈치관-208 다빈치관-208,Davinci Hall(039)-208,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
57,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11030,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",33,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,함지영,함지영,다빈치관-206 다빈치관-206,Davinci Hall(039)-206,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
58,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11029,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,권윤기,권윤기,다빈치관-220 다빈치관-220,Davinci Hall(039)-220,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
59,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11028,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김민희,김민희,다빈치관-207 다빈치관-207,Davinci Hall(039)-207,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
60,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11027,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,박윤경,"Park, Yoon Kyung",청운관(북관)-019 청운관(북관)-019,Chungwoon Hall(006A)-019,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
61,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11026,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,연윤정,연윤정,다빈치관-106 다빈치관-106,Davinci Hall(039)-106,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
62,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11025,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",33,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,조성민,조성민,다빈치관-209 다빈치관-209,Davinci Hall(039)-209,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
63,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11024,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,류주연,류주연,다빈치관-104 다빈치관-104,Davinci Hall(039)-104,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
64,100166,미분적분학(2),Calculus(2),"수강대상: 창의융합대학, 기술경영융합대학",11022,교필,General Education Required Course,3,"수(8 ~ 9), 금(3 ~ 4)","Wed(8 ~ 9), Fri(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,이호규,이호규,다빈치관-108 다빈치관-108,Davinci Hall(039)-108,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
65,100166,미분적분학(2),Calculus(2),"수강대상: 창의융합대학, 기술경영융합대학",11021,교필,General Education Required Course,3,"수(8 ~ 9), 금(3 ~ 4)","Wed(8 ~ 9), Fri(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,신현혜,Shin Hyun Hye,다빈치관-208 다빈치관-208,Davinci Hall(039)-208,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
66,100166,미분적분학(2),Calculus(2),"수강대상: 창의융합대학, 기술경영융합대학",11020,교필,General Education Required Course,3,"수(8 ~ 9), 금(3 ~ 4)","Wed(8 ~ 9), Fri(3 ~ 4)",33,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,안일주,안일주,다빈치관-106 다빈치관-106,Davinci Hall(039)-106,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
67,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11015,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김현수,김현수,다빈치관-209 다빈치관-209,Davinci Hall(039)-209,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
68,100166,미분적분학(2),Calculus(2),"수강대상: 창의융합대학, 기술경영융합대학",11019,교필,General Education Required Course,3,"수(8 ~ 9), 금(3 ~ 4)","Wed(8 ~ 9), Fri(3 ~ 4)",33,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,정갑헌,정갑헌,창조관-310 창조관-310,Changjo Hall (Graduate School)(008)-310,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
69,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11018,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,유자도,유자도,다빈치관-106 다빈치관-106,Davinci Hall(039)-106,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
70,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11002,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김병수,Byoung Soo Kim,무궁관-701 무궁관-701,Mugung Hall(057)-701,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
71,100180,심리학,Psychology,,31001,교선,General Education Elective,3,"화(2 ~ 3), 금(3)","Tue(2 ~ 3), Fri(3)",40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,신혜진,Shin HaeJin,다산관-318 상상관-703,Sangsang Hall(53)-703 Dasan Hall(002)-318,보기,N,,,
72,100180,심리학,Psychology,,31002,교선,General Education Elective,3,"화(4 ~ 5), 금(2)","Tue(4 ~ 5), Fri(2)",40,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,신혜진,Shin HaeJin,다산관-318 상상관-703,Sangsang Hall(53)-703 Dasan Hall(002)-318,보기,N,,,
